geometry,h3_index,bike_path_length,main_roads_length,walks_length,green_space_area,distance_to_city_center,service_amenity_count
"POLYGON ((4.768955155472885 52.38294358046585, 4.772947007669188 52.38414396559343, 4.776485997927782 52.38121751884787, 4.7760333490251305 52.3770904736719, 4.772041445479604 52.375889845602, 4.768502242173712 52.37881650564897, 4.768955155472885 52.38294358046585, 4.768955155472885 52.38294358046585))",887ab61ac5fffff,700.0853433244761,82.4631389957488,10183.913190759795,113440.82489164578,8205.015230803581,11
"POLYGON ((4.89113214444045 52.335901157090426, 4.895118471008773 52.33710260031332, 4.898656037571923 52.33417644544379, 4.898207490933275 52.33004863454447, 4.894221114258124 52.32884694861514, 4.890683334316178 52.33177331628996, 4.89113214444045 52.335901157090426, 4.89113214444045 52.335901157090426))",887ab60a03fffff,1498.1408371676775,2087.33456863774,17994.05911698622,251063.35932674294,4464.826996428925,90
"POLYGON ((4.907122759908825 52.37663912213184, 4.9111068386433026 52.37783897641223, 4.9146431431238655 52.374914208507214, 4.9141955822374905 52.370789373324286, 4.910211453285221 52.36958927640524, 4.906674935424844 52.37251425730637, 4.907122759908825 52.37663912213184, 4.907122759908825 52.37663912213184))",887ab60b55fffff,1410.7292409549739,1873.0657789334387,18997.87804578863,917.7990858267481,1241.8135010950175,100
"POLYGON ((4.90497455577283 52.427841056248674, 4.908957093846547 52.42903903570894, 4.912492268705172 52.42611571541812, 4.912045118806645 52.42199420238765, 4.908062530200363 52.42079598032543, 4.9045271420129115 52.423719513894156, 4.90497455577283 52.427841056248674, 4.90497455577283 52.427841056248674))",887ab65687fffff,0.0,1421.61107227442,18582.541583755756,30904.06799329676,5870.419408420246,93
"POLYGON ((4.839417068985437 52.39216665757716, 4.84340455754281 52.393366313691956, 4.846941897824092 52.39044108136881, 4.84649196274271 52.3863159797162, 4.842504423340827 52.385116080823934, 4.8389668698526 52.3880415263603, 4.839417068985437 52.39216665757716, 4.839417068985437 52.39216665757716))",887ab61837fffff,3566.216658258388,5805.158516825467,18158.018369418645,23862.100170046142,3820.002670555856,33
"POLYGON ((4.842890463023651 52.35330510823367, 4.846879013242942 52.35450617708617, 4.85041717419616 52.351579872739286, 4.84996699816795 52.347452286543536, 4.845978397358547 52.346250974890395, 4.842440023155212 52.34917749223211, 4.842890463023651 52.35330510823367, 4.842890463023651 52.35330510823367))",887ab61887fffff,2572.4427737514848,3391.5892584460553,19131.042790621384,2749.9117406861096,4026.005841585369,75
"POLYGON ((4.971280867339121 52.39995096306072, 4.975260470511233 52.401149604137245, 4.978794913661583 52.39822637204424, 4.978349967134919 52.39410428587661, 4.974370314117225 52.39290540232362, 4.97083565745949 52.39582884741332, 4.971280867339121 52.39995096306072, 4.971280867339121 52.39995096306072))",887ab654b3fffff,618.7882965358078,0.0,0.0,0.0,6208.2498045352795,0
"POLYGON ((4.796967287195456 52.42726763896226, 4.800956083725198 52.428466235501276, 4.804493482871561 52.42554144443192, 4.804042298549981 52.421417843335185, 4.800053450634305 52.42021900395245, 4.796515838413885 52.42314400850872, 4.796967287195456 52.42726763896226, 4.796967287195456 52.42726763896226))",887ab61b13fffff,0.0,1129.8231623239533,1003.3760455559003,0.0,8467.461635378677,2
"POLYGON ((4.804872141166321 52.393744660626176, 4.808861572092803 52.394944449323404, 4.81239958219574 52.392018797375016, 4.8119483744834275 52.38789314343841, 4.807958892429384 52.38669311188776, 4.804420669202975 52.389618977125814, 4.804872141166321 52.393744660626176, 4.804872141166321 52.393744660626176))",887ab61857fffff,1477.2417865032983,2266.8007039913973,10114.50575288853,114504.48146534922,6053.066325566903,7
"POLYGON ((4.930493853464492 52.30783941528831, 4.934478811354736 52.309041674050754, 4.938016203898704 52.3061152439801, 4.937568852035012 52.301986342570764, 4.933583844512718 52.30078384116816, 4.930046238473863 52.30371048381351, 4.930493853464492 52.30783941528831, 4.930493853464492 52.30783941528831))",887ab60aa5fffff,646.0685027061635,3228.019502218152,11428.252941490384,25677.4769410837,8096.620957991209,25
"POLYGON ((4.799075576887894 52.37603977614736, 4.803065917392354 52.37724024937963, 4.8066044529648835 52.37431400929305, 4.806152861146395 52.37018708276806, 4.8021624695719005 52.36898636665519, 4.798623720873697 52.371912819946516, 4.799075576887894 52.37603977614736, 4.799075576887894 52.37603977614736))",887ab61aa1fffff,1963.386214705982,2087.769236483422,17590.805541532696,33435.60635729194,6118.0813697226085,4
"POLYGON ((5.002666204499838 52.405417358747926, 5.00664380812909 52.40661562511315, 5.010177473892726 52.403692973418956, 5.009733749589139 52.39957184239348, 5.00575609633091 52.39837333362628, 5.002222216992951 52.40129619828511, 5.002666204499838 52.405417358747926, 5.002666204499838 52.405417358747926))",887ab64601fffff,0.0,0.0,0.0,0.0,8406.830030732199,0
"POLYGON ((4.890337118718767 52.39951049671145, 4.894321425428661 52.40070960102448, 4.897857551729205 52.39778526607483, 4.897409584627732 52.393661613657514, 4.893425227434005 52.392462266686756, 4.889888887813326 52.395386814789646, 4.890337118718767 52.39951049671145, 4.890337118718767 52.39951049671145))",887ab619a7fffff,0.0,0.0,3282.491192649139,790.4622537052264,2617.2388602587544,6
"POLYGON ((4.816839626588039 52.39734382797858, 4.820828250123417 52.398543417945504, 4.824365933135627 52.39561803088045, 4.82391520574892 52.39149284056142, 4.81992653115987 52.390293007770794, 4.81638863499896 52.39321860812148, 4.816839626588039 52.39734382797858, 4.816839626588039 52.39734382797858))",887ab61803fffff,939.479426449988,1655.5257088341666,3921.390888291453,0.0,5451.415244901387,1
"POLYGON ((4.7477204681972385 52.40050202033544, 4.751712972516954 52.40170187542947, 4.7552519892448135 52.3987756489389, 4.754798714620849 52.394649353914296, 4.75080615868068 52.393449255844544, 4.747266928972695 52.396375695773685, 4.7477204681972385 52.40050202033544, 4.7477204681972385 52.40050202033544))",887ab61a53fffff,444.77884283505057,0.0,12386.218738646654,270224.6763920478,9991.634550668172,7
"POLYGON ((4.9013461366389635 52.35893744926563, 4.9053311246185105 52.36013798754975, 4.908867953486436 52.357212632409734, 4.908420007744703 52.35308652607292, 4.90443496960479 52.35188574512313, 4.900897927354693 52.35481131317428, 4.9013461366389635 52.35893744926563, 4.9013461366389635 52.35893744926563))",887ab60a2dfffff,3794.7093394001527,4599.072704397677,17854.52192165962,3253.8378883750993,2079.2214236691607,103
"POLYGON ((4.989398203600484 52.389456455818134, 4.993377096607416 52.390655383392335, 4.996911403077936 52.3877320928645, 4.996467030087406 52.3836096618568, 4.992488087439073 52.38241049183807, 4.988953567410355 52.385333995270216, 4.989398203600484 52.389456455818134, 4.989398203600484 52.389456455818134))",887ab64653fffff,0.0,321.92851528500967,321.92851528500967,0.0,7003.44955010512,0
"POLYGON ((4.90926870016108 52.32539776248275, 4.913254317893703 52.32659949219656, 4.916791749649097 52.32367327999263, 4.916343777089856 52.31954512536104, 4.912358109455061 52.3183431529731, 4.908820464269376 52.32126957788939, 4.90926870016108 52.32539776248275, 4.90926870016108 52.32539776248275))",887ab60a33fffff,458.3505123891303,2987.7048107298538,2918.804278141077,24924.054844892802,5799.19740989111,1
"POLYGON ((5.047726357309426 52.39507214907988, 5.051701678406842 52.396270547569884, 5.055234639680712 52.393348204662004, 5.0547924935304716 52.389227250442495, 5.050817123220192 52.388028609642824, 5.047283948260681 52.39095116537087, 5.047726357309426 52.39507214907988, 5.047726357309426 52.39507214907988))",887ab64409fffff,0.0,0.0,0.0,0.0,11018.606331492101,0
"POLYGON ((4.829188127215031 52.369137150845674, 4.833176954571301 52.37033771210026, 4.836715033197975 52.36741167872975, 4.836264497659644 52.36328487099521, 4.832275619512281 52.36208406692191, 4.828737327682099 52.36501031340048, 4.829188127215031 52.369137150845674, 4.829188127215031 52.369137150845674))",887ab618ebfffff,1788.6719542539797,1714.9703114912836,19756.02670551151,16467.494257867646,4138.923506074129,53
"POLYGON ((4.903632145922271 52.41547559093739, 4.907615164078943 52.41667403352559, 4.911150650385631 52.41375033815638, 4.910703331860215 52.409627986983985, 4.906720263232187 52.40842930178077, 4.9031845635886695 52.41135321036363, 4.903632145922271 52.41547559093739, 4.903632145922271 52.41547559093739))",887ab65695fffff,539.9770770803883,2261.0378666405604,7959.660607108764,36684.531150982446,4504.664478896052,7
"POLYGON ((4.918135329675474 52.3360560697584, 4.922120088381958 52.337257357945646, 4.925657093260012 52.334331571227814, 4.925209552860733 52.33020428356803, 4.921224744259986 52.3290027527348, 4.9176875259404795 52.33192875220592, 4.918135329675474 52.3360560697584, 4.918135329675474 52.3360560697584))",887ab6084bfffff,870.6596901674311,2590.4365764245595,15376.886387530896,5515.890726709849,4870.412697442843,33
