geometry,h3_index,bike_path_length,main_roads_length,walks_length,green_space_area,distance_to_city_center,service_amenity_count
"POLYGON ((20.213198339756428 50.11128583687039, 20.209176460113863 50.108647834227625, 20.205120185892188 50.110614788791814, 20.205085760157985 50.115219327667496, 20.209107317714576 50.11785722962526, 20.213163623075307 50.11589069340979, 20.213198339756428 50.11128583687039, 20.213198339756428 50.11128583687039))",8852666cabfffff,0.0,0.0,1285.0065644371311,2022.0743010924182,16985.03454672885,0
"POLYGON ((20.048044064370238 50.035440881440884, 20.044020114909475 50.032807183262385, 20.03996930853488 50.03477614510485, 20.039942418453997 50.039378388222254, 20.043966045121685 50.04201198699397, 20.048016884647367 50.040043442072644, 20.048044064370238 50.035440881440884, 20.048044064370238 50.035440881440884))",885262c213fffff,742.0890764249237,3061.588332370788,28378.06641101706,4445.505043565793,3542.4351861224977,18
"POLYGON ((19.894486281012224 50.064185299273554, 19.890464857212386 50.06155551850252, 19.88642102543441 50.063519576732155, 19.886398583428395 50.068113000044235, 19.890419684006336 50.07074268134476, 19.89446354979609 50.068779038821134, 19.894486281012224 50.064185299273554, 19.894486281012224 50.064185299273554))",885262ceedfffff,718.9859737266837,0.0,12418.699241421786,21379.85352452614,7987.3207592227245,12
"POLYGON ((20.184976676818675 50.10203139888755, 20.180954601480583 50.09939412936734, 20.176899326134695 50.10136117437785, 20.176866094665513 50.10596507081758, 20.180887847803742 50.10860223982473, 20.184943154595043 50.10663561292283, 20.184976676818675 50.10203139888755, 20.184976676818675 50.10203139888755))",885262d645fffff,0.0,0.0,1817.0452469997065,59313.610737625626,14704.080147985364,0
"POLYGON ((19.938741341792817 50.08852573769264, 19.93472062409733 50.08589480463283, 19.930675382755087 50.087858051093406, 19.930650825659615 50.09245181454048, 19.93467122032677 50.09508264773841, 19.938716495101605 50.09311981736854, 19.938741341792817 50.08852573769264, 19.938741341792817 50.08852573769264))",885262c505fffff,2439.0381841128014,2061.8233439487453,53794.58341643351,13093.961294088052,6635.820213870073,182
"POLYGON ((20.056281532954173 50.008481905569695, 20.052256327571566 50.00584801848397, 20.048204679687498 50.0078189774576, 20.048178203806575 50.012423406576715, 20.052203086364482 50.01505719457972, 20.05625476761197 50.013086652563935, 20.056281532954173 50.008481905569695, 20.056281532954173 50.008481905569695))",885262c201fffff,0.0,2412.0477560558134,11521.306079728362,70384.08037801136,5699.098876988761,6
"POLYGON ((20.02757422746373 50.08208224349859, 20.0235525021374 50.07944903500104, 20.019503415243026 50.081414422502675, 20.01947602082808 50.086012601713904, 20.02349742339675 50.0886457102573, 20.02754654312194 50.086680739561, 20.02757422746373 50.08208224349859, 20.02757422746373 50.08208224349859))",885262c29bfffff,1329.6540561899124,1546.133048304411,50216.20193268485,60247.276856599914,4568.84536137854,276
"POLYGON ((20.205524112598688 50.05533592430193, 20.201499813660504 50.05269816181092, 20.197442824413976 50.05466879106838, 20.197410102323033 50.05927676460855, 20.201434079026523 50.06191442713553, 20.205491100039644 50.05994421610388, 20.205524112598688 50.05533592430193, 20.205524112598688 50.05533592430193))",8852666debfffff,0.0,1501.708210759297,9495.25690744738,22372.936067848565,14777.2144972771,7
"POLYGON ((19.878674463565712 49.99392008655244, 19.87465007687377 49.991290766720105, 19.870605607197195 49.99325930895734, 19.870585489353484 49.99785675554383, 19.87460955262253 50.000485976819064, 19.87865405714205 49.9985178500824, 19.878674463565712 49.99392008655244, 19.878674463565712 49.99392008655244))",885262cf07fffff,0.0,840.9498220825832,9599.396167084098,48009.57908848595,10526.266312894953,1
"POLYGON ((19.838158989852854 50.03197162527902, 19.834136622495606 50.0293433120635, 19.83009456784868 50.0313084862975, 19.830074845781986 50.035901558549355, 19.834096889670533 50.03852977280769, 19.838138979078323 50.036565013788675, 19.838158989852854 50.03197162527902, 19.838158989852854 50.03197162527902))",885262cc23fffff,993.349914309081,0.0,4795.41289581229,17312.323663279196,11846.270379519983,0
"POLYGON ((20.019823026026252 50.0262119759324, 20.015798896164778 50.02357900982176, 20.01174909875886 50.02554805938327, 20.01172339774168 50.03014965839163, 20.01574720469902 50.03278252526658, 20.01979703556156 50.03081389238642, 20.019823026026252 50.0262119759324, 20.019823026026252 50.0262119759324))",885262c05bfffff,0.0,0.0,9350.549197791188,5196.448598717491,2493.3948886482667,1
"POLYGON ((19.898273051209223 50.11273861896037, 19.894253737881634 50.11010870751977, 19.890210651614314 50.11206952926497, 19.890186845167328 50.11665984668036, 19.894205835391016 50.11928965803454, 19.898248955149402 50.11732925207695, 19.898273051209223 50.11273861896037, 19.898273051209223 50.11273861896037))",885262ced3fffff,0.0,2685.676663877624,9620.654168450557,15634.072367880019,10608.679618805265,5
"POLYGON ((20.075828355258484 50.11368894923258, 20.071807643029437 50.111054478723794, 20.067757126416247 50.11301863435681, 20.06772728986884 50.1176168432846, 20.071747679566094 50.12025121334768, 20.075798228326423 50.118287474945994, 20.075828355258484 50.11368894923258, 20.075828355258484 50.11368894923258))",885262d5ddfffff,0.0,1817.1547017829666,7796.808484603328,66881.57107960709,9386.493432910149,0
"POLYGON ((20.128629146053164 50.06972339849525, 20.124606075231206 50.067087602567376, 20.120552543390698 50.069055772046326, 20.120522050158655 50.073659319856255, 20.124544798524333 50.076295015788574, 20.12859836256229 50.07432726392413, 20.128629146053164 50.06972339849525, 20.128629146053164 50.06972339849525))",885262d739fffff,1738.660443026999,1182.8125036678389,15283.825963253661,181589.41454016895,9594.700955995624,31
